PM2.5,PM10,CO,NO2,SO2,O3,风速,压强,降水量,温度,湿度,时间
-17,-27,-0.044,-53,10,34,0.5,1020.6,89.8,15,65,2018/11/14 10:02
-11,-18,0.036,-46,6,27,0.9,1020,89.8,17,57,2018/11/14 10:57
-13,-27,0.004,-34,10,21,1.4,1018.5,89.8,18,52,2018/11/14 11:59
-7,-22,0.05,-38,11,25,1.6,1018,89.8,18,50,2018/11/14 12:58
-18,-23,0.055,-50,18,28,0.6,1017,89.8,18,50,2018/11/14 13:57
-19,-20,0.063,-53,23,31,1.7,1017.3,89.8,17,53,2018/11/14 14:57
-15,-17,-0.032,-49,31,14,1,1017.4,89.8,17,56,2018/11/14 15:56
-1,-11,0.163,-70,56,0,0.2,1017.6,89.8,16,59,2018/11/14 16:55
0,6,0.076,-85,40,-63,0.8,1018.2,89.8,15,64,2018/11/14 17:55
-19,-17,0.194,-93,64,-90,0.3,1018.1,89.8,15,66,2018/11/14 18:55
-7,2,0.144,-71,59,-90,0.2,1018.2,89.8,14,70,2018/11/14 19:57
-17,-37,0.062,-85,21,-48,0.6,1018.6,89.8,15,70,2018/11/14 20:58
-18,-37,0.234,-63,19,-43,0.8,1018.8,89.8,14,71,2018/11/14 21:58
-21,-45,0.219,-64,21,-42,0.3,1018.7,89.8,14,71,2018/11/14 22:57
-22,-46,0.173,-58,17,-38,0.7,1018.6,89.8,14,72,2018/11/14 23:55
-21,-44,0.039,-53,10,16,0.7,1018.7,89.8,14,72,2018/11/15 0:55
-6,-38,0.081,-44,10,26,0.4,1018.4,89.8,14,69,2018/11/15 1:55
-11,-40,0.039,-45,8,27,1.7,1018,89.9,14,69,2018/11/15 2:55
-14,-45,0.043,-47,7,25,1,1017.9,89.9,14,73,2018/11/15 3:58
-16,-51,0.181,-49,21,-29,0.5,1018.4,89.9,13,77,2018/11/15 4:56
-32,-74,0.092,-66,19,-52,0.3,1018.5,91,12,87,2018/11/15 5:55
-20,-70,0.006,-68,16,-49,0.5,1019.1,92.5,12,93,2018/11/15 6:58
-21,-77,-0.02,-66,17,-48,0.4,1019.4,94.5,12,94,2018/11/15 7:55
-17,-57,0.033,-64,22,-49,0.2,1019.8,94.8,12,93,2018/11/15 8:57
-12,-29,-0.084,-66,21,-64,0.9,1017.4,94.9,14,80,2018/11/15 12:57
